distance_m,postcode_match,city_match,address_match,operator_similarity,provider_uid,static_publication_id,site_id,site_operator,site_address,site_postcode,site_city,site_total_evses,station_id,datex_station_ids,datex_charge_point_ids,station_operator,station_address,station_postcode,station_city,station_charging_points_count,station_in_bundle,score
0.0,True,True,True,1.0,chargecloud,978597062404620288,09bafebc-dc82-4b4b-8332-5257062d27dc,Stadtwerke Stuttgart GmbH,Bonhoefferweg 2,70565,Stuttgart,2,0604db22b3c488e0,a9873a17-25dc-4d15-be3b-0f08d99512d3,DESTRE10107001|DESTRE10107002,Stadtwerke Stuttgart GmbH,Bonhoefferweg 2/1 70565 Stuttgart Stadtkreis Stuttgart,70565,Stuttgart,2,0,-100.0
0.0,True,True,True,1.0,chargecloud,978597062404620288,09d37e49-59f6-423c-8abc-46f654ebd3b5,TankE GmbH,Frankfurter Straße 350,51103,Köln,2,cadaefdb544b8ad4,09e98c8d-a105-4c91-9815-7f759a3984c2,DETNKE0012102|DETNKE0012101,TankE GmbH,Frankfurter Straße 350 51103 Köln Kreisfreie Stadt Köln,51103,Köln,2,0,-100.0
0.0,True,True,True,1.0,chargecloud,978597062404620288,09efaeec-4cd1-4fcd-a9a3-73505a1e68a7,TankE GmbH,Werthmannstr. 22,50935,Köln,2,221fc0b3a5ba47c3,0d2ec03e-99b1-486d-883c-bfbbf19478b7,DETNKE0039001|DETNKE0039002,TankE GmbH,Werthmannstr. 22 50935 Köln Kreisfreie Stadt Köln,50935,Köln,2,0,-100.0
0.0,True,True,True,1.0,chargecloud,978597062404620288,0a46d441-0679-4091-899e-a3941e7dadb4,MVV Energie AG,George-Sullivan-Ring 79,68309,Mannheim,2,e8dc2a621c3ea480,f37b8dcc-ea89-4d9d-b8c8-eb4cd8e17a83,DEMVVE00533L1|DEMVVE00533R1,MVV Energie AG,George-Sullivan-Ring 79 68309 Mannheim Stadtkreis Mannheim,68309,Mannheim,2,0,-100.0
0.0,True,True,True,1.0,chargecloud,978597062404620288,0a630019-e153-4e42-ab56-665b5bcb97ea,Berliner Stadtwerke EnergiePartner GmbH,Rotkamp 41,13053,Berlin,4,32309e742283fd21,1919c676-9505-4245-9183-95b92d8d2298|8f7c84da-e9cb-4a09-a267-026f4ec78296,DEBEPEP703013013|DEBEPEP703014014|DEBEPEP703010010|DEBEPEP703011011,Berliner Stadtwerke EnergiePartner GmbH,Rotkamp 41 13053 Berlin Kreisfreie Stadt Berlin,13053,Berlin,4,0,-100.0
0.0,True,True,True,1.0,chargecloud,978597062404620288,0a81ef58-8d3b-42e8-b700-f41f1cedb443,Stadtwerke Stuttgart GmbH,Steigstr. 1,70565,Stuttgart,2,34c065e80f7d18f1,3742f38b-1bf5-488a-bf42-b12821e99616,DESTRE10042001|DESTRE10042002,Stadtwerke Stuttgart GmbH,Steigstr 1 70565 Stuttgart Stadtkreis Stuttgart,70565,Stuttgart,2,0,-100.0
0.0,True,True,True,1.0,chargecloud,978597062404620288,0b280736-0298-41dd-902f-f755cce71a83,Stadtwerke Münster GmbH,Ludgeriplatz 2,48143,Münster,2,edb5a6555134f1ff,70937734-024b-4f43-937f-a5d8365c1e45,DEMS1EMS0080101|DEMS1EMS0080102,Stadtwerke Münster GmbH,Ludgeriplatz 2 48143 Münster Kreisfreie Stadt Münster,48143,Münster,2,0,-100.0
0.0,True,True,True,1.0,chargecloud,978597062404620288,0b4485fb-7c1f-4258-8701-daabd0fa84e4,TankE GmbH,Niehler Kirchweg 39,50733,Köln,2,7bd3da8d6fb3dee3,cf614b6a-0aed-4804-ad69-546585309cc5,DETNKE0020402|DETNKE0020401,TankE GmbH,Niehler Kirchweg 39 50733 Köln Kreisfreie Stadt Köln,50733,Köln,2,0,-100.0
0.0,True,True,True,1.0,chargecloud,978597062404620288,0b97c3da-b084-4f94-b433-2707b19302d0,Neue Energie Fellbach GmbH,Daimlerstraße 18,70736,Fellbach,2,2ce88f93b603c61d,dcd0f92e-477a-4c8f-80b1-79d68ac04843,DEFELENEF10009001|DEFELENEF10009002,Neue Energie Fellbach GmbH,Daimlerstraße 18 70736 Fellbach Landkreis Rems-Murr-Kreis,70736,Fellbach,2,1,-100.0
0.0,True,True,True,1.0,chargecloud,978597062404620288,0c2c4a76-4fce-49a6-b010-afa27ec56af2,MVV Energie AG,Rosengartenplatz  2,68161,Mannheim,2,0ef85ec59631ee4e,6f17b2e8-3144-489a-8761-dd9cc0442881,DEMVVE00509L1|DEMVVE00509R1,MVV Energie AG,Rosengartenplatz 2 68161 Mannheim Stadtkreis Mannheim,68161,Mannheim,2,1,-100.0
0.0,True,True,True,1.0,chargecloud,978597062404620288,0c3289db-8cb3-4524-afb7-21f1039dac3a,Parkgaragengesellschaft Baden-Baden mbH,Flugstraße 14,76532,Baden-Baden,2,5e5f13b56b0e2760,59944bd7-6e74-40a6-b560-44c30c736ff4,DELSBE00003001|DELSBE00003002,Parkgaragengesellschaft Baden-Baden mbH,Flugstraße 14 76532 Baden-Baden Stadtkreis Baden-Baden,76532,Baden-Baden,2,0,-100.0
0.0,True,True,True,1.0,chargecloud,978597062404620288,0c8a07ac-00be-4a5e-9c9b-ecb49d4b4c5f,TankE GmbH,Slabystr 28,50735,Köln,2,69ab32936211afd7,62def840-b0ab-4e24-a115-8a98a2f68f0a,DETNKE0049801|DETNKE0049802,TankE GmbH,Slabystr. 28 50735 Köln Kreisfreie Stadt Köln,50735,Köln,2,0,-100.0
